年月,來源港,來源洲,臺灣港,TEU
"2023/06","THLCH","亞洲","TWTXG",1900
"2023/06","USLAX","北美洲","TWKEL",2339
"2023/06","USLAX","北美洲","TWKHH",17807
"2023/06","USLAX","北美洲","TWTPE",6651
"2023/06","VNHPH","亞洲","TWKEL",2
"2023/06","VNHPH","亞洲","TWKHH",14682
"2023/06","VNHPH","亞洲","TWTPE",578
"2023/06","VNHPH","亞洲","TWTXG",1922
"2023/07","CNNGB","亞洲","TWKEL",4794
"2023/07","CNNGB","亞洲","TWKHH",5329
"2023/07","CNNGB","亞洲","TWTPE",1607
"2023/07","CNNGB","亞洲","TWTXG",6270
"2023/07","CNSHA","亞洲","TWKEL",14067
"2023/07","CNSHA","亞洲","TWKHH",11463
"2023/07","CNSHA","亞洲","TWTPE",2833
"2023/07","CNSHA","亞洲","TWTXG",8794
"2023/07","HKHKG","亞洲","TWKEL",16299
"2023/07","HKHKG","亞洲","TWKHH",14420
"2023/07","HKHKG","亞洲","TWTPE",3911
"2023/07","HKHKG","亞洲","TWTXG",9432
"2023/07","JPTYO","亞洲","TWKEL",2620
"2023/07","JPTYO","亞洲","TWKHH",7750
"2023/07","JPTYO","亞洲","TWTPE",3878
"2023/07","JPTYO","亞洲","TWTXG",5307
"2023/07","JPYOK","亞洲","TWKEL",2955
"2023/07","JPYOK","亞洲","TWKHH",10694
"2023/07","JPYOK","亞洲","TWTPE",1667
"2023/07","JPYOK","亞洲","TWTXG",1951
"2023/07","KRPUS","亞洲","TWKEL",2970
"2023/07","KRPUS","亞洲","TWKHH",12626
"2023/07","KRPUS","亞洲","TWTPE",3137
"2023/07","KRPUS","亞洲","TWTXG",1699
"2023/07","SGSIN","亞洲","TWKEL",2865
"2023/07","SGSIN","亞洲","TWKHH",18917
"2023/07","SGSIN","亞洲","TWTPE",3074
"2023/07","SGSIN","亞洲","TWTXG",1886
"2023/07","THLCH","亞洲","TWKEL",1555
"2023/07","THLCH","亞洲","TWKHH",13264
"2023/07","THLCH","亞洲","TWTPE",4325
"2023/07","THLCH","亞洲","TWTXG",1656
"2023/07","USLAX","北美洲","TWKEL",3014
"2023/07","USLAX","北美洲","TWKHH",37283
"2023/07","USLAX","北美洲","TWTPE",3449
"2023/07","VNHPH","亞洲","TWKHH",13986
"2023/07","VNHPH","亞洲","TWTPE",1260
"2023/07","VNHPH","亞洲","TWTXG",1647
"2023/08","CNNGB","亞洲","TWKEL",4834
"2023/08","CNNGB","亞洲","TWKHH",5818
"2023/08","CNNGB","亞洲","TWTPE",1846
"2023/08","CNNGB","亞洲","TWTXG",5664
"2023/08","CNSHA","亞洲","TWKEL",15838
"2023/08","CNSHA","亞洲","TWKHH",11146
"2023/08","CNSHA","亞洲","TWTPE",2921
"2023/08","CNSHA","亞洲","TWTXG",9518
"2023/08","HKHKG","亞洲","TWKEL",17618
"2023/08","HKHKG","亞洲","TWKHH",12459
"2023/08","HKHKG","亞洲","TWTPE",3386
"2023/08","HKHKG","亞洲","TWTXG",9855
"2023/08","JPTYO","亞洲","TWKEL",2712
"2023/08","JPTYO","亞洲","TWKHH",9364
"2023/08","JPTYO","亞洲","TWTPE",2261
"2023/08","JPTYO","亞洲","TWTXG",4097
"2023/08","JPYOK","亞洲","TWKEL",2850
"2023/08","JPYOK","亞洲","TWKHH",11844
"2023/08","JPYOK","亞洲","TWTPE",1239
"2023/08","JPYOK","亞洲","TWTXG",1664
"2023/08","KRPUS","亞洲","TWKEL",3063
"2023/08","KRPUS","亞洲","TWKHH",12398
"2023/08","KRPUS","亞洲","TWTPE",4064
"2023/08","KRPUS","亞洲","TWTXG",1662
"2023/08","SGSIN","亞洲","TWKEL",2003
"2023/08","SGSIN","亞洲","TWKHH",17337
"2023/08","SGSIN","亞洲","TWTPE",3147
"2023/08","SGSIN","亞洲","TWTXG",2338
"2023/08","THLCH","亞洲","TWKEL",1650
"2023/08","THLCH","亞洲","TWKHH",10154
"2023/08","THLCH","亞洲","TWTPE",3214
"2023/08","THLCH","亞洲","TWTXG",2011
"2023/08","USLAX","北美洲","TWKEL",3137
"2023/08","USLAX","北美洲","TWKHH",30943
"2023/08","USLAX","北美洲","TWTPE",3656
"2023/08","VNHPH","亞洲","TWKHH",15641
"2023/08","VNHPH","亞洲","TWTPE",1371
"2023/08","VNHPH","亞洲","TWTXG",886
"2023/09","CNNGB","亞洲","TWKEL",5152
"2023/09","CNNGB","亞洲","TWKHH",6186
"2023/09","CNNGB","亞洲","TWTPE",2677
"2023/09","CNNGB","亞洲","TWTXG",6493
"2023/09","CNSHA","亞洲","TWKEL",15982
"2023/09","CNSHA","亞洲","TWKHH",12479
"2023/09","CNSHA","亞洲","TWTPE",3338
"2023/09","CNSHA","亞洲","TWTXG",8762
"2023/09","HKHKG","亞洲","TWKEL",15807
"2023/09","HKHKG","亞洲","TWKHH",14404
"2023/09","HKHKG","亞洲","TWTPE",3836
"2023/09","HKHKG","亞洲","TWTXG",10672
"2023/09","JPTYO","亞洲","TWKEL",2908
"2023/09","JPTYO","亞洲","TWKHH",7641
"2023/09","JPTYO","亞洲","TWTPE",3221
"2023/09","JPTYO","亞洲","TWTXG",3163
"2023/09","JPYOK","亞洲","TWKEL",2611
"2023/09","JPYOK","亞洲","TWKHH",11938
"2023/09","JPYOK","亞洲","TWTPE",1434
"2023/09","JPYOK","亞洲","TWTXG",1169
"2023/09","KRPUS","亞洲","TWKEL",3373
"2023/09","KRPUS","亞洲","TWKHH",16419
"2023/09","KRPUS","亞洲","TWTPE",2705
"2023/09","KRPUS","亞洲","TWTXG",2069
"2023/09","SGSIN","亞洲","TWKEL",1921
"2023/09","SGSIN","亞洲","TWKHH",16951
"2023/09","SGSIN","亞洲","TWTPE",2735
"2023/09","SGSIN","亞洲","TWTXG",4425
"2023/09","THLCH","亞洲","TWKEL",1371
"2023/09","THLCH","亞洲","TWKHH",10926
"2023/09","THLCH","亞洲","TWTPE",4487
"2023/09","THLCH","亞洲","TWTXG",2540
"2023/09","USLAX","北美洲","TWKEL",3778
"2023/09","USLAX","北美洲","TWKHH",33017
"2023/09","USLAX","北美洲","TWTPE",1773
"2023/09","VNHPH","亞洲","TWKHH",14778
"2023/09","VNHPH","亞洲","TWTPE",859
"2023/09","VNHPH","亞洲","TWTXG",2084
"2023/10","CNNGB","亞洲","TWKEL",3914
"2023/10","CNNGB","亞洲","TWKHH",6674
"2023/10","CNNGB","亞洲","TWTPE",4260
"2023/10","CNNGB","亞洲","TWTXG",5946
"2023/10","CNSHA","亞洲","TWKEL",14145
"2023/10","CNSHA","亞洲","TWKHH",12689
"2023/10","CNSHA","亞洲","TWTPE",4497
"2023/10","CNSHA","亞洲","TWTXG",8611
"2023/10","HKHKG","亞洲","TWKEL",14840
"2023/10","HKHKG","亞洲","TWKHH",13591
"2023/10","HKHKG","亞洲","TWTPE",3095
"2023/10","HKHKG","亞洲","TWTXG",9129
"2023/10","JPTYO","亞洲","TWKEL",3644
"2023/10","JPTYO","亞洲","TWKHH",8631
"2023/10","JPTYO","亞洲","TWTPE",2987
"2023/10","JPTYO","亞洲","TWTXG",6030
"2023/10","JPYOK","亞洲","TWKEL",3556
"2023/10","JPYOK","亞洲","TWKHH",12304
"2023/10","JPYOK","亞洲","TWTPE",1649
"2023/10","JPYOK","亞洲","TWTXG",2222
"2023/10","KRPUS","亞洲","TWKEL",2964
"2023/10","KRPUS","亞洲","TWKHH",10409
"2023/10","KRPUS","亞洲","TWTPE",2385
"2023/10","KRPUS","亞洲","TWTXG",1449
"2023/10","SGSIN","亞洲","TWKEL",1115
"2023/10","SGSIN","亞洲","TWKHH",17082
"2023/10","SGSIN","亞洲","TWTPE",2313
"2023/10","SGSIN","亞洲","TWTXG",2729
"2023/10","THLCH","亞洲","TWKEL",1634
"2023/10","THLCH","亞洲","TWKHH",10634
"2023/10","THLCH","亞洲","TWTPE",3199
"2023/10","THLCH","亞洲","TWTXG",808
"2023/10","USLAX","北美洲","TWKEL",4196
"2023/10","USLAX","北美洲","TWKHH",26866
"2023/10","USLAX","北美洲","TWTPE",5750
"2023/10","VNHPH","亞洲","TWKHH",13833
"2023/10","VNHPH","亞洲","TWTPE",875
"2023/10","VNHPH","亞洲","TWTXG",1861
"2023/11","CNNGB","亞洲","TWKEL",4258
"2023/11","CNNGB","亞洲","TWKHH",7723
"2023/11","CNNGB","亞洲","TWTPE",2138
"2023/11","CNNGB","亞洲","TWTXG",6450
"2023/11","CNSHA","亞洲","TWKEL",16557
"2023/11","CNSHA","亞洲","TWKHH",12248
"2023/11","CNSHA","亞洲","TWTPE",2876
"2023/11","CNSHA","亞洲","TWTXG",8915
"2023/11","HKHKG","亞洲","TWKEL",16375
"2023/11","HKHKG","亞洲","TWKHH",12926
"2023/11","HKHKG","亞洲","TWTPE",4057
"2023/11","HKHKG","亞洲","TWTXG",10024
"2023/11","JPTYO","亞洲","TWKEL",3373
"2023/11","JPTYO","亞洲","TWKHH",7732
"2023/11","JPTYO","亞洲","TWTPE",2295
"2023/11","JPTYO","亞洲","TWTXG",2595
"2023/11","JPYOK","亞洲","TWKEL",3288
"2023/11","JPYOK","亞洲","TWKHH",10207
"2023/11","JPYOK","亞洲","TWTPE",1754
"2023/11","JPYOK","亞洲","TWTXG",1575
"2023/11","KRPUS","亞洲","TWKEL",2667
"2023/11","KRPUS","亞洲","TWKHH",11679
"2023/11","KRPUS","亞洲","TWTPE",3421
"2023/11","KRPUS","亞洲","TWTXG",2104
"2023/11","SGSIN","亞洲","TWKEL",453
"2023/11","SGSIN","亞洲","TWKHH",15113
"2023/11","SGSIN","亞洲","TWTPE",3139
"2023/11","SGSIN","亞洲","TWTXG",3296
"2023/11","THLCH","亞洲","TWKEL",1804
"2023/11","THLCH","亞洲","TWKHH",9171
"2023/11","THLCH","亞洲","TWTPE",3606
"2023/11","THLCH","亞洲","TWTXG",1275
"2023/11","USLAX","北美洲","TWKEL",3459
"2023/11","USLAX","北美洲","TWKHH",37446
"2023/11","USLAX","北美洲","TWTPE",954
"2023/11","VNHPH","亞洲","TWKHH",15684
"2023/11","VNHPH","亞洲","TWTPE",1026
"2023/11","VNHPH","亞洲","TWTXG",2196
"2023/12","CNNGB","亞洲","TWKEL",6361
"2023/12","CNNGB","亞洲","TWKHH",8084
"2023/12","CNNGB","亞洲","TWTPE",2788
"2023/12","CNNGB","亞洲","TWTXG",5657
"2023/12","CNNGB","亞洲","TWTZG",115
"2023/12","CNSHA","亞洲","TWKEL",18207
"2023/12","CNSHA","亞洲","TWKHH",14008
"2023/12","CNSHA","亞洲","TWTPE",4118
"2023/12","CNSHA","亞洲","TWTXG",10073
"2023/12","HKHKG","亞洲","TWKEL",17393
"2023/12","HKHKG","亞洲","TWKHH",14208
"2023/12","HKHKG","亞洲","TWTPE",3868
"2023/12","HKHKG","亞洲","TWTXG",10795
"2023/12","JPTYO","亞洲","TWKEL",3678
"2023/12","JPTYO","亞洲","TWKHH",10895
"2023/12","JPTYO","亞洲","TWTPE",2821
"2023/12","JPTYO","亞洲","TWTXG",5505
"2023/12","JPYOK","亞洲","TWKEL",3466
"2023/12","JPYOK","亞洲","TWKHH",12055
"2023/12","JPYOK","亞洲","TWTPE",1624
"2023/12","JPYOK","亞洲","TWTXG",2205
"2023/12","KRPUS","亞洲","TWKEL",3088
"2023/12","KRPUS","亞洲","TWKHH",11098
"2023/12","KRPUS","亞洲","TWTPE",3400
"2023/12","KRPUS","亞洲","TWTXG",2512
"2023/12","SGSIN","亞洲","TWKEL",1332
"2023/12","SGSIN","亞洲","TWKHH",15422
"2023/12","SGSIN","亞洲","TWTPE",3424
"2023/12","SGSIN","亞洲","TWTXG",2349
"2023/12","THLCH","亞洲","TWKEL",2181
"2023/12","THLCH","亞洲","TWKHH",11068
"2023/12","THLCH","亞洲","TWTPE",4539
"2023/12","THLCH","亞洲","TWTXG",1779
"2023/12","USLAX","北美洲","TWKEL",2727
"2023/12","USLAX","北美洲","TWKHH",25944
"2023/12","USLAX","北美洲","TWTPE",785
"2023/12","VNHPH","亞洲","TWKHH",14905
"2023/12","VNHPH","亞洲","TWTPE",2124
"2023/12","VNHPH","亞洲","TWTXG",1747
"2024/01","CNNGB","亞洲","TWHPC",24
"2024/01","CNNGB","亞洲","TWKEL",5821
"2024/01","CNNGB","亞洲","TWKHH",9383
"2024/01","CNNGB","亞洲","TWTPE",2931
"2024/01","CNNGB","亞洲","TWTXG",7048
"2024/01","CNSHA","亞洲","TWKEL",16374
"2024/01","CNSHA","亞洲","TWKHH",14114
"2024/01","CNSHA","亞洲","TWTPE",4464
"2024/01","CNSHA","亞洲","TWTXG",10956
"2024/01","HKHKG","亞洲","TWKEL",21005
"2024/01","HKHKG","亞洲","TWKHH",14678
"2024/01","HKHKG","亞洲","TWTPE",4136
"2024/01","HKHKG","亞洲","TWTXG",12581
"2024/01","JPTYO","亞洲","TWKEL",2515
"2024/01","JPTYO","亞洲","TWKHH",8513
"2024/01","JPTYO","亞洲","TWTPE",2895
"2024/01","JPTYO","亞洲","TWTXG",3799
"2024/01","JPYOK","亞洲","TWKEL",3029
"2024/01","JPYOK","亞洲","TWKHH",9283
"2024/01","JPYOK","亞洲","TWTPE",1731
"2024/01","JPYOK","亞洲","TWTXG",1529
"2024/01","KRPUS","亞洲","TWKEL",3288
"2024/01","KRPUS","亞洲","TWKHH",10393
"2024/01","KRPUS","亞洲","TWTPE",2860
"2024/01","KRPUS","亞洲","TWTXG",2860
"2024/01","SGSIN","亞洲","TWKEL",297
"2024/01","SGSIN","亞洲","TWKHH",14152
"2024/01","SGSIN","亞洲","TWTPE",2895
"2024/01","SGSIN","亞洲","TWTXG",2522
"2024/01","THLCH","亞洲","TWKEL",2673
"2024/01","THLCH","亞洲","TWKHH",10448
"2024/01","THLCH","亞洲","TWTPE",3583
"2024/01","THLCH","亞洲","TWTXG",1180
"2024/01","USLAX","北美洲","TWKEL",3604
"2024/01","USLAX","北美洲","TWKHH",41013
"2024/01","USLAX","北美洲","TWTPE",1420
"2024/01","VNHPH","亞洲","TWKHH",14947
"2024/01","VNHPH","亞洲","TWTPE",1581
"2024/01","VNHPH","亞洲","TWTXG",1910
"2024/02","CNNGB","亞洲","TWKEL",3930
"2024/02","CNNGB","亞洲","TWKHH",5971
"2024/02","CNNGB","亞洲","TWTPE",1727
"2024/02","CNNGB","亞洲","TWTXG",4712
"2024/02","CNSHA","亞洲","TWKEL",9577
"2024/02","CNSHA","亞洲","TWKHH",7836
"2024/02","CNSHA","亞洲","TWTPE",2669
"2024/02","CNSHA","亞洲","TWTXG",5537
"2024/02","HKHKG","亞洲","TWKEL",9151
"2024/02","HKHKG","亞洲","TWKHH",10085
"2024/02","HKHKG","亞洲","TWTPE",1929
"2024/02","HKHKG","亞洲","TWTXG",6402
"2024/02","JPTYO","亞洲","TWKEL",2562
"2024/02","JPTYO","亞洲","TWKHH",8754
"2024/02","JPTYO","亞洲","TWTPE",3089
"2024/02","JPTYO","亞洲","TWTXG",3855
"2024/02","JPYOK","亞洲","TWKEL",3156
"2024/02","JPYOK","亞洲","TWKHH",12925
"2024/02","JPYOK","亞洲","TWTPE",1538
"2024/02","JPYOK","亞洲","TWTXG",2224
"2024/02","KRPUS","亞洲","TWKEL",2672
"2024/02","KRPUS","亞洲","TWKHH",11440
"2024/02","KRPUS","亞洲","TWTPE",1834
"2024/02","KRPUS","亞洲","TWTXG",2140
"2024/02","SGSIN","亞洲","TWKEL",781
"2024/02","SGSIN","亞洲","TWKHH",12844
"2024/02","SGSIN","亞洲","TWTPE",2424
"2024/02","SGSIN","亞洲","TWTXG",2074
"2024/02","THLCH","亞洲","TWKEL",822
"2024/02","THLCH","亞洲","TWKHH",11693
"2024/02","THLCH","亞洲","TWTPE",3716
"2024/02","THLCH","亞洲","TWTXG",1019
"2024/02","USLAX","北美洲","TWKEL",1936
"2024/02","USLAX","北美洲","TWKHH",22171
"2024/02","USLAX","北美洲","TWTPE",2865
"2024/02","VNHPH","亞洲","TWKHH",11537
"2024/02","VNHPH","亞洲","TWTPE",1138
"2024/02","VNHPH","亞洲","TWTXG",1386
"2024/03","CNNGB","亞洲","TWKEL",4887
"2024/03","CNNGB","亞洲","TWKHH",8676
"2024/03","CNNGB","亞洲","TWTPE",1546
"2024/03","CNNGB","亞洲","TWTXG",5760
"2024/03","CNSHA","亞洲","TWKEL",18233
"2024/03","CNSHA","亞洲","TWKHH",14187
"2024/03","CNSHA","亞洲","TWTPE",2812
"2024/03","CNSHA","亞洲","TWTXG",9675
"2024/03","HKHKG","亞洲","TWKEL",16430
"2024/03","HKHKG","亞洲","TWKHH",13743
"2024/03","HKHKG","亞洲","TWTPE",3607
"2024/03","HKHKG","亞洲","TWTXG",9445
"2024/03","JPTYO","亞洲","TWKEL",3469
"2024/03","JPTYO","亞洲","TWKHH",8560
"2024/03","JPTYO","亞洲","TWTPE",3465
"2024/03","JPTYO","亞洲","TWTXG",4396
"2024/03","JPYOK","亞洲","TWKEL",3329
"2024/03","JPYOK","亞洲","TWKHH",11667
"2024/03","JPYOK","亞洲","TWTPE",1569
"2024/03","JPYOK","亞洲","TWTXG",1944
"2024/03","KRPUS","亞洲","TWKEL",3474
"2024/03","KRPUS","亞洲","TWKHH",12930
"2024/03","KRPUS","亞洲","TWTPE",1604
"2024/03","KRPUS","亞洲","TWTXG",2607
"2024/03","SGSIN","亞洲","TWKEL",1314
"2024/03","SGSIN","亞洲","TWKHH",16184
"2024/03","SGSIN","亞洲","TWTPE",3188
"2024/03","SGSIN","亞洲","TWTXG",2168
"2024/03","THLCH","亞洲","TWKEL",2655
"2024/03","THLCH","亞洲","TWKHH",10555
"2024/03","THLCH","亞洲","TWTPE",2686
"2024/03","THLCH","亞洲","TWTXG",1662
"2024/03","USLAX","北美洲","TWKEL",4680
"2024/03","USLAX","北美洲","TWKHH",36227
"2024/03","USLAX","北美洲","TWTPE",3630
"2024/03","VNHPH","亞洲","TWKHH",17831
"2024/03","VNHPH","亞洲","TWTPE",1452
"2024/03","VNHPH","亞洲","TWTXG",1131